date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-04,iOS,US,existing,treatment,free,feature_adoption_rate,0,16655,0.0
2026-04-04,iOS,US,existing,treatment,free,mutual_connection_rate,3163,16732,0.189039
2026-04-04,iOS,US,existing,treatment,free,subscription_conversion_rate,650,16680,0.038969
2026-04-04,iOS,US,existing,treatment,free,session_frequency,22893,16921,1.352934
2026-04-04,iOS,US,existing,treatment,free,report_block_rate,102,17038,0.005987
2026-04-04,iOS,US,existing,treatment,free,day7_retention_proxy,12338,17281,0.713963
2026-04-04,iOS,US,existing,treatment,free,payment_completion_rate,1003,1092,0.918498
2026-04-04,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,4771,0.0
2026-04-04,iOS,US,existing,treatment,subscriber,mutual_connection_rate,913,4871,0.187436
2026-04-04,iOS,US,existing,treatment,subscriber,session_frequency,6377,4682,1.362025
2026-04-04,iOS,US,existing,treatment,subscriber,report_block_rate,36,4691,0.007674
2026-04-04,iOS,US,existing,treatment,subscriber,day7_retention_proxy,3357,4699,0.714407
2026-04-04,iOS,US,existing,control,free,feature_adoption_rate,0,16596,0.0
2026-04-04,iOS,US,existing,control,free,mutual_connection_rate,3161,16939,0.186611
2026-04-04,iOS,US,existing,control,free,subscription_conversion_rate,692,17191,0.040254
2026-04-04,iOS,US,existing,control,free,session_frequency,22282,16424,1.356673
2026-04-04,iOS,US,existing,control,free,report_block_rate,95,16625,0.005714
2026-04-04,iOS,US,existing,control,free,day7_retention_proxy,12062,17048,0.707532
2026-04-04,iOS,US,existing,control,free,payment_completion_rate,977,1059,0.922568
2026-04-04,iOS,US,existing,control,subscriber,feature_adoption_rate,0,4751,0.0
2026-04-04,iOS,US,existing,control,subscriber,mutual_connection_rate,846,4670,0.181156
2026-04-04,iOS,US,existing,control,subscriber,session_frequency,6608,4879,1.354376
2026-04-04,iOS,US,existing,control,subscriber,report_block_rate,31,4857,0.006383
2026-04-04,iOS,US,existing,control,subscriber,day7_retention_proxy,3395,4760,0.713235
2026-04-04,iOS,US,new,treatment,free,feature_adoption_rate,0,3705,0.0
2026-04-04,iOS,US,new,treatment,free,mutual_connection_rate,699,3716,0.188105
2026-04-04,iOS,US,new,treatment,free,subscription_conversion_rate,114,3776,0.030191
2026-04-04,iOS,US,new,treatment,free,session_frequency,4878,3632,1.343062
2026-04-04,iOS,US,new,treatment,free,report_block_rate,13,3632,0.003579
2026-04-04,iOS,US,new,treatment,free,day7_retention_proxy,2240,3696,0.606061
2026-04-04,iOS,US,new,treatment,free,payment_completion_rate,214,237,0.902954
2026-04-04,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,1015,0.0
2026-04-04,iOS,US,new,treatment,subscriber,mutual_connection_rate,192,1050,0.182857
2026-04-04,iOS,US,new,treatment,subscriber,session_frequency,1436,1059,1.355996
2026-04-04,iOS,US,new,treatment,subscriber,report_block_rate,5,1078,0.004638
2026-04-04,iOS,US,new,treatment,subscriber,day7_retention_proxy,634,1047,0.60554
2026-04-04,iOS,US,new,control,free,feature_adoption_rate,0,3663,0.0
2026-04-04,iOS,US,new,control,free,mutual_connection_rate,669,3584,0.186663
2026-04-04,iOS,US,new,control,free,subscription_conversion_rate,113,3584,0.031529
2026-04-04,iOS,US,new,control,free,session_frequency,5060,3726,1.358025
2026-04-04,iOS,US,new,control,free,report_block_rate,26,3589,0.007244
2026-04-04,iOS,US,new,control,free,day7_retention_proxy,2246,3649,0.615511
2026-04-04,iOS,US,new,control,free,payment_completion_rate,216,228,0.947368
2026-04-04,iOS,US,new,control,subscriber,feature_adoption_rate,0,1032,0.0
2026-04-04,iOS,US,new,control,subscriber,mutual_connection_rate,193,1038,0.185934
2026-04-04,iOS,US,new,control,subscriber,session_frequency,1360,1015,1.339901
2026-04-04,iOS,US,new,control,subscriber,report_block_rate,7,1038,0.006744
2026-04-04,iOS,US,new,control,subscriber,day7_retention_proxy,663,1036,0.639961
2026-04-04,iOS,GB,existing,treatment,free,feature_adoption_rate,0,9094,0.0
2026-04-04,iOS,GB,existing,treatment,free,mutual_connection_rate,1638,8981,0.182385
2026-04-04,iOS,GB,existing,treatment,free,subscription_conversion_rate,406,8887,0.045685
2026-04-04,iOS,GB,existing,treatment,free,session_frequency,12316,9069,1.358033
2026-04-04,iOS,GB,existing,treatment,free,report_block_rate,63,8700,0.007241
2026-04-04,iOS,GB,existing,treatment,free,day7_retention_proxy,6348,8910,0.712458
2026-04-04,iOS,GB,existing,treatment,free,payment_completion_rate,487,543,0.896869
2026-04-04,iOS,GB,existing,treatment,subscriber,feature_adoption_rate,0,2411,0.0
2026-04-04,iOS,GB,existing,treatment,subscriber,mutual_connection_rate,448,2421,0.185048
2026-04-04,iOS,GB,existing,treatment,subscriber,session_frequency,3335,2488,1.340434
2026-04-04,iOS,GB,existing,treatment,subscriber,report_block_rate,21,2467,0.008512
2026-04-04,iOS,GB,existing,treatment,subscriber,day7_retention_proxy,1717,2424,0.708333
2026-04-04,iOS,GB,existing,control,free,feature_adoption_rate,0,8593,0.0
2026-04-04,iOS,GB,existing,control,free,mutual_connection_rate,1647,9101,0.180969
2026-04-04,iOS,GB,existing,control,free,subscription_conversion_rate,386,9012,0.042832
2026-04-04,iOS,GB,existing,control,free,session_frequency,11788,8682,1.357752
2026-04-04,iOS,GB,existing,control,free,report_block_rate,58,8818,0.006577
2026-04-04,iOS,GB,existing,control,free,day7_retention_proxy,6304,8817,0.714982
2026-04-04,iOS,GB,existing,control,free,payment_completion_rate,498,551,0.903811
2026-04-04,iOS,GB,existing,control,subscriber,feature_adoption_rate,0,2512,0.0
2026-04-04,iOS,GB,existing,control,subscriber,mutual_connection_rate,421,2442,0.1724
2026-04-04,iOS,GB,existing,control,subscriber,session_frequency,3291,2460,1.337805
2026-04-04,iOS,GB,existing,control,subscriber,report_block_rate,11,2447,0.004495
2026-04-04,iOS,GB,existing,control,subscriber,day7_retention_proxy,1811,2516,0.719793
2026-04-04,iOS,GB,new,treatment,free,feature_adoption_rate,0,1906,0.0
2026-04-04,iOS,GB,new,treatment,free,mutual_connection_rate,359,1975,0.181772
2026-04-04,iOS,GB,new,treatment,free,subscription_conversion_rate,50,1902,0.026288
2026-04-04,iOS,GB,new,treatment,free,session_frequency,2623,1943,1.349974
2026-04-04,iOS,GB,new,treatment,free,report_block_rate,22,1937,0.011358
2026-04-04,iOS,GB,new,treatment,free,day7_retention_proxy,1199,1961,0.611423
2026-04-04,iOS,GB,new,treatment,free,payment_completion_rate,106,117,0.905983
2026-04-04,iOS,GB,new,treatment,subscriber,feature_adoption_rate,0,537,0.0
2026-04-04,iOS,GB,new,treatment,subscriber,mutual_connection_rate,77,538,0.143123
