date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-04,iOS,US,existing,treatment,free,feature_adoption_rate,0,16867,0.0
2026-04-04,iOS,US,existing,treatment,free,recommendation_engagement_rate,2963,16395,0.180726
2026-04-04,iOS,US,existing,treatment,free,subscription_conversion_rate,667,16938,0.039379
2026-04-04,iOS,US,existing,treatment,free,session_frequency,21604,16113,1.340781
2026-04-04,iOS,US,existing,treatment,free,report_block_rate,118,17088,0.006905
2026-04-04,iOS,US,existing,treatment,free,day7_retention_proxy,12059,16913,0.713002
2026-04-04,iOS,US,existing,treatment,free,payment_completion_rate,958,1064,0.900376
2026-04-04,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,4638,0.0
2026-04-04,iOS,US,existing,treatment,subscriber,recommendation_engagement_rate,827,4576,0.180726
2026-04-04,iOS,US,existing,treatment,subscriber,session_frequency,6415,4726,1.357385
2026-04-04,iOS,US,existing,treatment,subscriber,report_block_rate,30,4615,0.006501
2026-04-04,iOS,US,existing,treatment,subscriber,day7_retention_proxy,3366,4741,0.709977
2026-04-04,iOS,US,existing,control,free,feature_adoption_rate,0,16831,0.0
2026-04-04,iOS,US,existing,control,free,recommendation_engagement_rate,3013,17061,0.176602
2026-04-04,iOS,US,existing,control,free,subscription_conversion_rate,697,16936,0.041155
2026-04-04,iOS,US,existing,control,free,session_frequency,23048,16921,1.362094
2026-04-04,iOS,US,existing,control,free,report_block_rate,102,16464,0.006195
2026-04-04,iOS,US,existing,control,free,day7_retention_proxy,11916,16745,0.711615
2026-04-04,iOS,US,existing,control,free,payment_completion_rate,967,1055,0.916588
2026-04-04,iOS,US,existing,control,subscriber,feature_adoption_rate,0,4724,0.0
2026-04-04,iOS,US,existing,control,subscriber,recommendation_engagement_rate,887,4789,0.185216
2026-04-04,iOS,US,existing,control,subscriber,session_frequency,6401,4761,1.344465
2026-04-04,iOS,US,existing,control,subscriber,report_block_rate,29,4820,0.006017
2026-04-04,iOS,US,existing,control,subscriber,day7_retention_proxy,3339,4714,0.708316
2026-04-04,iOS,US,new,treatment,free,feature_adoption_rate,0,3659,0.0
2026-04-04,iOS,US,new,treatment,free,recommendation_engagement_rate,715,3823,0.187026
2026-04-04,iOS,US,new,treatment,free,subscription_conversion_rate,111,3693,0.030057
2026-04-04,iOS,US,new,treatment,free,session_frequency,5036,3713,1.356316
2026-04-04,iOS,US,new,treatment,free,report_block_rate,17,3756,0.004526
2026-04-04,iOS,US,new,treatment,free,day7_retention_proxy,2244,3683,0.609286
2026-04-04,iOS,US,new,treatment,free,payment_completion_rate,207,231,0.896104
2026-04-04,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,1036,0.0
2026-04-04,iOS,US,new,treatment,subscriber,recommendation_engagement_rate,212,1014,0.209073
2026-04-04,iOS,US,new,treatment,subscriber,session_frequency,1403,1039,1.350337
2026-04-04,iOS,US,new,treatment,subscriber,report_block_rate,5,1090,0.004587
2026-04-04,iOS,US,new,treatment,subscriber,day7_retention_proxy,641,1002,0.639721
2026-04-04,iOS,US,new,control,free,feature_adoption_rate,0,3812,0.0
2026-04-04,iOS,US,new,control,free,recommendation_engagement_rate,714,3786,0.18859
2026-04-04,iOS,US,new,control,free,subscription_conversion_rate,104,3810,0.027297
2026-04-04,iOS,US,new,control,free,session_frequency,4768,3544,1.345372
2026-04-04,iOS,US,new,control,free,report_block_rate,26,3786,0.006867
2026-04-04,iOS,US,new,control,free,day7_retention_proxy,2269,3681,0.616409
2026-04-04,iOS,US,new,control,free,payment_completion_rate,215,234,0.918803
2026-04-04,iOS,US,new,control,subscriber,feature_adoption_rate,0,1047,0.0
2026-04-04,iOS,US,new,control,subscriber,recommendation_engagement_rate,194,1059,0.183192
