date,platform,market,event_name,expected_volume,observed_volume,completeness_pct,schema_version,schema_changed,null_rate_key_property
2026-04-04,iOS,US,priority_rec_impression,26312,25943,0.986,4,0,0.0045
2026-04-04,iOS,US,priority_rec_viewed,19524,19235,0.9852,4,0,0.0035
2026-04-04,iOS,US,priority_rec_saved,10113,9938,0.9826,4,0,0.0042
2026-04-04,iOS,US,paywall_viewed,1982,1956,0.9868,4,0,0.003
2026-04-04,iOS,US,checkout_started,656,650,0.9903,4,0,0.0039
2026-04-04,iOS,US,payment_completed,599,597,0.9962,4,0,0.0051
2026-04-04,iOS,US,subscription_activated,595,595,0.9995,4,0,0.0036
2026-04-04,iOS,GB,priority_rec_impression,13728,13585,0.9895,4,0,0.0031
2026-04-04,iOS,GB,priority_rec_viewed,10186,10080,0.9896,4,0,0.0054
2026-04-04,iOS,GB,priority_rec_saved,5276,5215,0.9883,4,0,0.0051
2026-04-04,iOS,GB,paywall_viewed,1034,1020,0.986,4,0,0.0057
2026-04-04,iOS,GB,checkout_started,342,337,0.9832,4,0,0.0069
2026-04-04,iOS,GB,payment_completed,313,309,0.9896,4,0,0.0032
2026-04-04,iOS,GB,subscription_activated,311,304,0.9784,4,0,0.0036
2026-04-04,iOS,DE,priority_rec_impression,10296,10291,0.9995,4,0,0.0049
2026-04-04,iOS,DE,priority_rec_viewed,7640,7502,0.982,4,0,0.0032
2026-04-04,iOS,DE,priority_rec_saved,3957,3868,0.9773,4,0,0.0062
2026-04-04,iOS,DE,paywall_viewed,776,761,0.9817,4,0,0.0036
2026-04-04,iOS,DE,checkout_started,257,255,0.9917,4,0,0.0037
2026-04-04,iOS,DE,payment_completed,234,228,0.9746,4,0,0.0049
2026-04-04,iOS,DE,subscription_activated,233,231,0.9935,4,0,0.0013
2026-04-04,iOS,CA,priority_rec_impression,6864,6796,0.99,4,0,0.0032
2026-04-04,iOS,CA,priority_rec_viewed,5093,5015,0.9847,4,0,0.0021
2026-04-04,iOS,CA,priority_rec_saved,2638,2637,0.9995,4,0,0.004
2026-04-04,iOS,CA,paywall_viewed,517,506,0.9794,4,0,0.006
2026-04-04,iOS,CA,checkout_started,171,168,0.984,4,0,0.0054
2026-04-04,iOS,CA,payment_completed,156,154,0.9856,4,0,0.0003
2026-04-04,iOS,CA,subscription_activated,155,154,0.9888,4,0,0.0028
2026-04-04,Android,US,priority_rec_impression,24288,24276,0.9995,4,0,0.0057
2026-04-04,Android,US,priority_rec_viewed,18022,17667,0.9803,4,0,0.0035
2026-04-04,Android,US,priority_rec_saved,9335,9184,0.9838,4,0,0.0
2026-04-04,Android,US,paywall_viewed,1830,1806,0.9868,4,0,0.0015
2026-04-04,Android,US,checkout_started,606,593,0.9792,4,0,0.0048
2026-04-04,Android,US,payment_completed,553,546,0.9872,4,0,0.0017
2026-04-04,Android,US,subscription_activated,550,546,0.9936,4,0,0.0036
2026-04-04,Android,GB,priority_rec_impression,12672,12666,0.9995,4,0,0.0002
2026-04-04,Android,GB,priority_rec_viewed,9403,9285,0.9875,4,0,0.0022
2026-04-04,Android,GB,priority_rec_saved,4871,4784,0.9823,4,0,0.0037
2026-04-04,Android,GB,paywall_viewed,955,946,0.9913,4,0,0.0011
2026-04-04,Android,GB,checkout_started,316,313,0.9905,4,0,0.0056
2026-04-04,Android,GB,payment_completed,288,285,0.9882,4,0,0.0029
2026-04-04,Android,GB,subscription_activated,287,283,0.988,4,0,0.0017
2026-04-04,Android,DE,priority_rec_impression,9504,9417,0.9909,4,0,0.0055
2026-04-04,Android,DE,priority_rec_viewed,7052,6984,0.9903,4,0,0.0035
2026-04-04,Android,DE,priority_rec_saved,3653,3545,0.9705,4,0,0.0048
2026-04-04,Android,DE,paywall_viewed,716,706,0.9854,4,0,0.0071
2026-04-04,Android,DE,checkout_started,237,231,0.9764,4,0,0.0063
2026-04-04,Android,DE,payment_completed,216,216,0.9972,4,0,0.0029
2026-04-04,Android,DE,subscription_activated,215,213,0.992,4,0,0.008
2026-04-04,Android,CA,priority_rec_impression,6336,6222,0.982,4,0,0.0067
2026-04-04,Android,CA,priority_rec_viewed,4701,4625,0.9838,4,0,0.0019
2026-04-04,Android,CA,priority_rec_saved,2435,2387,0.98,4,0,0.0059
2026-04-04,Android,CA,paywall_viewed,477,477,0.9995,4,0,0.0035
2026-04-04,Android,CA,checkout_started,158,156,0.9902,4,0,0.0028
2026-04-04,Android,CA,payment_completed,144,143,0.9883,4,0,0.007
2026-04-04,Android,CA,subscription_activated,143,140,0.9757,4,0,0.005
2026-04-05,iOS,US,priority_rec_impression,27341,26587,0.9724,4,0,0.004
2026-04-05,iOS,US,priority_rec_viewed,20287,20277,0.9995,4,0,0.0044
2026-04-05,iOS,US,priority_rec_saved,10509,10355,0.9854,4,0,0.0069
2026-04-05,iOS,US,paywall_viewed,2060,2020,0.9808,4,0,0.0026
2026-04-05,iOS,US,checkout_started,682,667,0.9784,4,0,0.0051
2026-04-05,iOS,US,payment_completed,622,617,0.9916,4,0,0.0027
2026-04-05,iOS,US,subscription_activated,619,610,0.9866,4,0,0.0018
2026-04-05,iOS,GB,priority_rec_impression,14265,14043,0.9845,4,0,0.0021
2026-04-05,iOS,GB,priority_rec_viewed,10584,10441,0.9865,4,0,0.003
2026-04-05,iOS,GB,priority_rec_saved,5483,5363,0.9782,4,0,0.006
2026-04-05,iOS,GB,paywall_viewed,1075,1066,0.9922,4,0,0.0066
2026-04-05,iOS,GB,checkout_started,356,349,0.9814,4,0,0.0046
2026-04-05,iOS,GB,payment_completed,325,321,0.9874,4,0,0.0069
2026-04-05,iOS,GB,subscription_activated,323,320,0.9909,4,0,0.0054
2026-04-05,iOS,DE,priority_rec_impression,10698,10629,0.9935,4,0,0.0051
2026-04-05,iOS,DE,priority_rec_viewed,7938,7897,0.9947,4,0,0.0049
2026-04-05,iOS,DE,priority_rec_saved,4112,4050,0.985,4,0,0.004
2026-04-05,iOS,DE,paywall_viewed,806,800,0.9928,4,0,0.005
2026-04-05,iOS,DE,checkout_started,267,265,0.9944,4,0,0.003
2026-04-05,iOS,DE,payment_completed,244,240,0.985,4,0,0.0032
2026-04-05,iOS,DE,subscription_activated,242,239,0.9883,4,0,0.0033
2026-04-05,iOS,CA,priority_rec_impression,7132,7105,0.9961,4,0,0.0036
2026-04-05,iOS,CA,priority_rec_viewed,5292,5175,0.9778,4,0,0.006
2026-04-05,iOS,CA,priority_rec_saved,2741,2714,0.99,4,0,0.0056
2026-04-05,iOS,CA,paywall_viewed,537,533,0.9918,4,0,0.0006
2026-04-05,iOS,CA,checkout_started,178,176,0.9869,4,0,0.0051
2026-04-05,iOS,CA,payment_completed,162,160,0.9859,4,0,0.0021
2026-04-05,iOS,CA,subscription_activated,161,161,0.9995,4,0,0.0009
2026-04-05,Android,US,priority_rec_impression,25237,25155,0.9967,4,0,0.0039
2026-04-05,Android,US,priority_rec_viewed,18726,18683,0.9977,4,0,0.0036
2026-04-05,Android,US,priority_rec_saved,9700,9594,0.9891,4,0,0.0085
2026-04-05,Android,US,paywall_viewed,1901,1892,0.9952,4,0,0.0047
2026-04-05,Android,US,checkout_started,629,622,0.9886,4,0,0.0067
2026-04-05,Android,US,payment_completed,575,563,0.9804,4,0,0.0034
2026-04-05,Android,US,subscription_activated,571,565,0.9901,4,0,0.0023
2026-04-05,Android,GB,priority_rec_impression,13167,12838,0.975,4,0,0.0042
2026-04-05,Android,GB,priority_rec_viewed,9770,9626,0.9852,4,0,0.0048
2026-04-05,Android,GB,priority_rec_saved,5061,4967,0.9814,4,0,0.004
2026-04-05,Android,GB,paywall_viewed,992,973,0.9805,4,0,0.0036
2026-04-05,Android,GB,checkout_started,328,323,0.9842,4,0,0.0055
2026-04-05,Android,GB,payment_completed,300,298,0.9951,4,0,0.0027
2026-04-05,Android,GB,subscription_activated,298,295,0.9894,4,0,0.0033
2026-04-05,Android,DE,priority_rec_impression,9876,9731,0.9854,4,0,0.0035
2026-04-05,Android,DE,priority_rec_viewed,7328,7261,0.9909,4,0,0.0065
2026-04-05,Android,DE,priority_rec_saved,3796,3748,0.9875,4,0,0.0015
2026-04-05,Android,DE,paywall_viewed,744,733,0.985,4,0,0.0047
2026-04-05,Android,DE,checkout_started,246,245,0.9942,4,0,0.0024
2026-04-05,Android,DE,payment_completed,225,225,0.9995,4,0,0.005
2026-04-05,Android,DE,subscription_activated,223,221,0.9896,4,0,0.0042
2026-04-05,Android,CA,priority_rec_impression,6584,6436,0.9776,4,0,0.0065
2026-04-05,Android,CA,priority_rec_viewed,4885,4818,0.9862,4,0,0.0052
2026-04-05,Android,CA,priority_rec_saved,2530,2493,0.9851,4,0,0.0015
2026-04-05,Android,CA,paywall_viewed,496,493,0.9948,4,0,0.0037
2026-04-05,Android,CA,checkout_started,164,161,0.9811,4,0,0.0051
2026-04-05,Android,CA,payment_completed,150,149,0.9922,4,0,0.0046
2026-04-05,Android,CA,subscription_activated,149,147,0.9885,4,0,0.0027
2026-04-06,iOS,US,priority_rec_impression,27595,27366,0.9917,4,0,0.0027
2026-04-06,iOS,US,priority_rec_viewed,20475,20261,0.9895,4,0,0.0054
2026-04-06,iOS,US,priority_rec_saved,10606,10480,0.9881,4,0,0.0059
2026-04-06,iOS,US,paywall_viewed,2079,2045,0.9838,4,0,0.0
