date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-04,iOS,US,existing,treatment,free,feature_adoption_rate,0,17611,0.0
2026-04-04,iOS,US,existing,treatment,free,recommendation_engagement_rate,3153,16987,0.185613
2026-04-04,iOS,US,existing,treatment,free,subscription_conversion_rate,751,17747,0.042317
2026-04-04,iOS,US,existing,treatment,free,session_frequency,22544,16752,1.34575
2026-04-04,iOS,US,existing,treatment,free,report_block_rate,89,16798,0.005298
2026-04-04,iOS,US,existing,treatment,free,day7_retention_proxy,12205,17117,0.713034
2026-04-04,iOS,US,existing,treatment,free,payment_completion_rate,928,1031,0.900097
2026-04-04,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,4711,0.0
2026-04-04,iOS,US,existing,treatment,subscriber,recommendation_engagement_rate,852,4711,0.180853
2026-04-04,iOS,US,existing,treatment,subscriber,session_frequency,6354,4670,1.3606
2026-04-04,iOS,US,existing,treatment,subscriber,report_block_rate,26,4888,0.005319
2026-04-04,iOS,US,existing,treatment,subscriber,day7_retention_proxy,3334,4715,0.707105
2026-04-04,iOS,US,existing,control,free,feature_adoption_rate,0,17032,0.0
2026-04-04,iOS,US,existing,control,free,recommendation_engagement_rate,3039,16747,0.181465
2026-04-04,iOS,US,existing,control,free,subscription_conversion_rate,660,16980,0.038869
2026-04-04,iOS,US,existing,control,free,session_frequency,22307,16543,1.348425
2026-04-04,iOS,US,existing,control,free,report_block_rate,97,16287,0.005956
2026-04-04,iOS,US,existing,control,free,day7_retention_proxy,11678,16408,0.711726
2026-04-04,iOS,US,existing,control,free,payment_completion_rate,1011,1091,0.926673
2026-04-04,iOS,US,existing,control,subscriber,feature_adoption_rate,0,4738,0.0
2026-04-04,iOS,US,existing,control,subscriber,recommendation_engagement_rate,897,4924,0.182169
2026-04-04,iOS,US,existing,control,subscriber,session_frequency,6491,4850,1.338351
2026-04-04,iOS,US,existing,control,subscriber,report_block_rate,22,4796,0.004587
2026-04-04,iOS,US,existing,control,subscriber,day7_retention_proxy,3503,4860,0.720782
2026-04-04,iOS,US,new,treatment,free,feature_adoption_rate,0,3637,0.0
2026-04-04,iOS,US,new,treatment,free,recommendation_engagement_rate,710,3771,0.188279
2026-04-04,iOS,US,new,treatment,free,subscription_conversion_rate,110,3648,0.030154
2026-04-04,iOS,US,new,treatment,free,session_frequency,5176,3778,1.370037
2026-04-04,iOS,US,new,treatment,free,report_block_rate,33,3604,0.009156
2026-04-04,iOS,US,new,treatment,free,day7_retention_proxy,2269,3689,0.615072
2026-04-04,iOS,US,new,treatment,free,payment_completion_rate,209,225,0.928889
2026-04-04,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,1082,0.0
2026-04-04,iOS,US,new,treatment,subscriber,recommendation_engagement_rate,205,1086,0.188766
2026-04-04,iOS,US,new,treatment,subscriber,session_frequency,1382,1033,1.337851
2026-04-04,iOS,US,new,treatment,subscriber,report_block_rate,10,1057,0.009461
