date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-04,iOS,US,existing,treatment,free,feature_adoption_rate,0,17093,0.0
2026-04-04,iOS,US,existing,treatment,free,recommendation_engagement_rate,3121,16991,0.183685
2026-04-04,iOS,US,existing,treatment,free,subscription_conversion_rate,674,16832,0.040043
2026-04-04,iOS,US,existing,treatment,free,session_frequency,22504,16674,1.349646
2026-04-04,iOS,US,existing,treatment,free,report_block_rate,116,16914,0.006858
2026-04-04,iOS,US,existing,treatment,free,day7_retention_proxy,11692,16526,0.707491
2026-04-04,iOS,US,existing,treatment,free,payment_completion_rate,961,1046,0.918738
2026-04-04,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,4849,0.0
2026-04-04,iOS,US,existing,treatment,subscriber,recommendation_engagement_rate,849,4747,0.17885
2026-04-04,iOS,US,existing,treatment,subscriber,session_frequency,6556,4811,1.36271
2026-04-04,iOS,US,existing,treatment,subscriber,report_block_rate,34,4806,0.007074
2026-04-04,iOS,US,existing,treatment,subscriber,day7_retention_proxy,3386,4744,0.713744
2026-04-04,iOS,US,existing,control,free,feature_adoption_rate,0,16531,0.0
2026-04-04,iOS,US,existing,control,free,recommendation_engagement_rate,3122,17301,0.180452
2026-04-04,iOS,US,existing,control,free,subscription_conversion_rate,702,16770,0.04186
2026-04-04,iOS,US,existing,control,free,session_frequency,22990,16873,1.362532
2026-04-04,iOS,US,existing,control,free,report_block_rate,94,16798,0.005596
2026-04-04,iOS,US,existing,control,free,day7_retention_proxy,11833,16601,0.712788
2026-04-04,iOS,US,existing,control,free,payment_completion_rate,949,1036,0.916023
2026-04-04,iOS,US,existing,control,subscriber,feature_adoption_rate,0,4589,0.0
2026-04-04,iOS,US,existing,control,subscriber,recommendation_engagement_rate,900,4707,0.191205
2026-04-04,iOS,US,existing,control,subscriber,session_frequency,6419,4693,1.367782
2026-04-04,iOS,US,existing,control,subscriber,report_block_rate,33,4746,0.006953
2026-04-04,iOS,US,existing,control,subscriber,day7_retention_proxy,3418,4805,0.711342
2026-04-04,iOS,US,new,treatment,free,feature_adoption_rate,0,3698,0.0
2026-04-04,iOS,US,new,treatment,free,recommendation_engagement_rate,668,3746,0.178324
2026-04-04,iOS,US,new,treatment,free,subscription_conversion_rate,122,3692,0.033044
2026-04-04,iOS,US,new,treatment,free,session_frequency,5010,3711,1.35004
2026-04-04,iOS,US,new,treatment,free,report_block_rate,25,3697,0.006762
2026-04-04,iOS,US,new,treatment,free,day7_retention_proxy,2183,3691,0.591439
2026-04-04,iOS,US,new,treatment,free,payment_completion_rate,211,228,0.925439
2026-04-04,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,1004,0.0
2026-04-04,iOS,US,new,treatment,subscriber,recommendation_engagement_rate,189,1069,0.176801
2026-04-04,iOS,US,new,treatment,subscriber,session_frequency,1367,1019,1.341511
2026-04-04,iOS,US,new,treatment,subscriber,report_block_rate,12,1033,0.011617
2026-04-04,iOS,US,new,treatment,subscriber,day7_retention_proxy,625,1013,0.616979
2026-04-04,iOS,US,new,control,free,feature_adoption_rate,0,3705,0.0
2026-04-04,iOS,US,new,control,free,recommendation_engagement_rate,616,3720,0.165591
2026-04-04,iOS,US,new,control,free,subscription_conversion_rate,104,3635,0.028611
2026-04-04,iOS,US,new,control,free,session_frequency,4908,3716,1.320775
2026-04-04,iOS,US,new,control,free,report_block_rate,24,3796,0.006322
2026-04-04,iOS,US,new,control,free,day7_retention_proxy,2295,3762,0.610048
2026-04-04,iOS,US,new,control,free,payment_completion_rate,204,226,0.902655
2026-04-04,iOS,US,new,control,subscriber,feature_adoption_rate,0,1044,0.0
2026-04-04,iOS,US,new,control,subscriber,recommendation_engagement_rate,186,1045,0.17799
2026-04-04,iOS,US,new,control,subscriber,session_frequency,1446,1055,1.370616
2026-04-04,iOS,US,new,control,subscriber,report_block_rate,2,1044,0.001916
2026-04-04,iOS,US,new,control,subscriber,day7_retention_proxy,642,1060,0.60566
2026-04-04,iOS,GB,existing,treatment,free,feature_adoption_rate,0,8927,0.0
2026-04-04,iOS,GB,existing,treatment,free,recommendation_engagement_rate,1623,8901,0.182339
2026-04-04,iOS,GB,existing,treatment,free,subscription_conversion_rate,345,8603,0.040102
2026-04-04,iOS,GB,existing,treatment,free,session_frequency,11489,8620,1.332831
2026-04-04,iOS,GB,existing,treatment,free,report_block_rate,47,8726,0.005386
2026-04-04,iOS,GB,existing,treatment,free,day7_retention_proxy,6222,8904,0.698787
2026-04-04,iOS,GB,existing,treatment,free,payment_completion_rate,505,547,0.923218
2026-04-04,iOS,GB,existing,treatment,subscriber,feature_adoption_rate,0,2455,0.0
2026-04-04,iOS,GB,existing,treatment,subscriber,recommendation_engagement_rate,450,2436,0.184729
2026-04-04,iOS,GB,existing,treatment,subscriber,session_frequency,3424,2513,1.362515
2026-04-04,iOS,GB,existing,treatment,subscriber,report_block_rate,13,2441,0.005326
2026-04-04,iOS,GB,existing,treatment,subscriber,day7_retention_proxy,1744,2451,0.711546
2026-04-04,iOS,GB,existing,control,free,feature_adoption_rate,0,8982,0.0
2026-04-04,iOS,GB,existing,control,free,recommendation_engagement_rate,1607,8641,0.185974
2026-04-04,iOS,GB,existing,control,free,subscription_conversion_rate,352,8793,0.040032
2026-04-04,iOS,GB,existing,control,free,session_frequency,11415,8462,1.348972
2026-04-04,iOS,GB,existing,control,free,report_block_rate,52,8748,0.005944
2026-04-04,iOS,GB,existing,control,free,day7_retention_proxy,6265,8773,0.714123
2026-04-04,iOS,GB,existing,control,free,payment_completion_rate,498,550,0.905455
2026-04-04,iOS,GB,existing,control,subscriber,feature_adoption_rate,0,2447,0.0
2026-04-04,iOS,GB,existing,control,subscriber,recommendation_engagement_rate,474,2513,0.188619
2026-04-04,iOS,GB,existing,control,subscriber,session_frequency,3312,2472,1.339806
2026-04-04,iOS,GB,existing,control,subscriber,report_block_rate,15,2478,0.006053
2026-04-04,iOS,GB,existing,control,subscriber,day7_retention_proxy,1757,2469,0.711624
2026-04-04,iOS,GB,new,treatment,free,feature_adoption_rate,0,1921,0.0
2026-04-04,iOS,GB,new,treatment,free,recommendation_engagement_rate,373,1903,0.196006
2026-04-04,iOS,GB,new,treatment,free,subscription_conversion_rate,57,1892,0.030127
2026-04-04,iOS,GB,new,treatment,free,session_frequency,2668,1931,1.381668
2026-04-04,iOS,GB,new,treatment,free,report_block_rate,6,1995,0.003008
2026-04-04,iOS,GB,new,treatment,free,day7_retention_proxy,1198,1934,0.619442
2026-04-04,iOS,GB,new,treatment,free,payment_completion_rate,107,119,0.89916
2026-04-04,iOS,GB,new,treatment,subscriber,feature_adoption_rate,0,533,0.0
2026-04-04,iOS,GB,new,treatment,subscriber,recommendation_engagement_rate,94,536,0.175373
2026-04-04,iOS,GB,new,treatment,subscriber,session_frequency,726,519,1.398844
2026-04-04,iOS,GB,new,treatment,subscriber,report_block_rate,1,541,0.001848
2026-04-04,iOS,GB,new,treatment,subscriber,day7_retention_proxy,334,535,0.624299
2026-04-04,iOS,GB,new,control,free,feature_adoption_rate,0,1878,0.0
2026-04-04,iOS,GB,new,control,free,recommendation_engagement_rate,334,1945,0.171722
2026-04-04,iOS,GB,new,control,free,subscription_conversion_rate,59,1887,0.031267
2026-04-04,iOS,GB,new,control,free,session_frequency,2580,1908,1.352201
2026-04-04,iOS,GB,new,control,free,report_block_rate,6,1881,0.00319
2026-04-04,iOS,GB,new,control,free,day7_retention_proxy,1216,1940,0.626804
2026-04-04,iOS,GB,new,control,free,payment_completion_rate,109,119,0.915966
2026-04-04,iOS,GB,new,control,subscriber,feature_adoption_rate,0,548,0.0
2026-04-04,iOS,GB,new,control,subscriber,recommendation_engagement_rate,95,538,0.17658
2026-04-04,iOS,GB,new,control,subscriber,session_frequency,683,518,1.318533
2026-04-04,iOS,GB,new,control,subscriber,report_block_rate,3,548,0.005474
2026-04-04,iOS,GB,new,control,subscriber,day7_retention_proxy,350,548,0.638686
2026-04-04,iOS,DE,existing,treatment,free,feature_adoption_rate,0,6624,0.0
2026-04-04,iOS,DE,existing,treatment,free,recommendation_engagement_rate,1214,6642,0.182776
2026-04-04,iOS,DE,existing,treatment,free,subscription_conversion_rate,240,6722,0.035704
2026-04-04,iOS,DE,existing,treatment,free,session_frequency,8965,6582,1.362048
2026-04-04,iOS,DE,existing,treatment,free,report_block_rate,44,6677,0.00659
2026-04-04,iOS,DE,existing,treatment,free,day7_retention_proxy,4873,6668,0.730804
2026-04-04,iOS,DE,existing,treatment,free,payment_completion_rate,373,396,0.941919
2026-04-04,iOS,DE,existing,treatment,subscriber,feature_adoption_rate,0,1863,0.0
2026-04-04,iOS,DE,existing,treatment,subscriber,recommendation_engagement_rate,291,1817,0.160154
2026-04-04,iOS,DE,existing,treatment,subscriber,session_frequency,2469,1847,1.336762
2026-04-04,iOS,DE,existing,treatment,subscriber,report_block_rate,10,1817,0.005504
2026-04-04,iOS,DE,existing,treatment,subscriber,day7_retention_proxy,1294,1849,0.699838
2026-04-04,iOS,DE,existing,control,free,feature_adoption_rate,0,6380,0.0
2026-04-04,iOS,DE,existing,control,free,recommendation_engagement_rate,1162,6504,0.178659
2026-04-04,iOS,DE,existing,control,free,subscription_conversion_rate,253,6460,0.039164
2026-04-04,iOS,DE,existing,control,free,session_frequency,8777,6495,1.351347
2026-04-04,iOS,DE,existing,control,free,report_block_rate,36,6650,0.005414
2026-04-04,iOS,DE,existing,control,free,day7_retention_proxy,4676,6553,0.713566
2026-04-04,iOS,DE,existing,control,free,payment_completion_rate,369,400,0.9225
2026-04-04,iOS,DE,existing,control,subscriber,feature_adoption_rate,0,1881,0.0
2026-04-04,iOS,DE,existing,control,subscriber,recommendation_engagement_rate,308,1820,0.169231
2026-04-04,iOS,DE,existing,control,subscriber,session_frequency,2489,1852,1.343952
2026-04-04,iOS,DE,existing,control,subscriber,report_block_rate,7,1856,0.003772
2026-04-04,iOS,DE,existing,control,subscriber,day7_retention_proxy,1301,1861,0.699087
2026-04-04,iOS,DE,new,treatment,free,feature_adoption_rate,0,1477,0.0
2026-04-04,iOS,DE,new,treatment,free,recommendation_engagement_rate,225,1437,0.156576
2026-04-04,iOS,DE,new,treatment,free,subscription_conversion_rate,31,1441,0.021513
2026-04-04,iOS,DE,new,treatment,free,session_frequency,1918,1428,1.343137
2026-04-04,iOS,DE,new,treatment,free,report_block_rate,8,1392,0.005747
2026-04-04,iOS,DE,new,treatment,free,day7_retention_proxy,870,1425,0.610526
2026-04-04,iOS,DE,new,treatment,free,payment_completion_rate,80,91,0.879121
2026-04-04,iOS,DE,new,treatment,subscriber,feature_adoption_rate,0,398,0.0
2026-04-04,iOS,DE,new,treatment,subscriber,recommendation_engagement_rate,72,414,0.173913
2026-04-04,iOS,DE,new,treatment,subscriber,session_frequency,537,413,1.300242
2026-04-04,iOS,DE,new,treatment,subscriber,report_block_rate,4,416,0.009615
2026-04-04,iOS,DE,new,treatment,subscriber,day7_retention_proxy,251,410,0.612195
2026-04-04,iOS,DE,new,control,free,feature_adoption_rate,0,1451,0.0
2026-04-04,iOS,DE,new,control,free,recommendation_engagement_rate,255,1420,0.179577
2026-04-04,iOS,DE,new,control,free,subscription_conversion_rate,42,1438,0.029207
2026-04-04,iOS,DE,new,control,free,session_frequency,1918,1409,1.361249
2026-04-04,iOS,DE,new,control,free,report_block_rate,12,1471,0.008158
2026-04-04,iOS,DE,new,control,free,day7_retention_proxy,861,1420,0.606338
2026-04-04,iOS,DE,new,control,free,payment_completion_rate,83,90,0.922222
2026-04-04,iOS,DE,new,control,subscriber,feature_adoption_rate,0,407,0.0
2026-04-04,iOS,DE,new,control,subscriber,recommendation_engagement_rate,75,418,0.179426
2026-04-04,iOS,DE,new,control,subscriber,session_frequency,559,405,1.380247
2026-04-04,iOS,DE,new,control,subscriber,report_block_rate,3,395,0.007595
2026-04-04,iOS,DE,new,control,subscriber,day7_retention_proxy,256,408,0.627451
2026-04-04,iOS,CA,existing,treatment,free,feature_adoption_rate,0,4410,0.0
2026-04-04,iOS,CA,existing,treatment,free,recommendation_engagement_rate,753,4383,0.1718
2026-04-04,iOS,CA,existing,treatment,free,subscription_conversion_rate,169,4338,0.038958
2026-04-04,iOS,CA,existing,treatment,free,session_frequency,6081,4482,1.35676
2026-04-04,iOS,CA,existing,treatment,free,report_block_rate,32,4410,0.007256
2026-04-04,iOS,CA,existing,treatment,free,day7_retention_proxy,3037,4302,0.705951
2026-04-04,iOS,CA,existing,treatment,free,payment_completion_rate,251,273,0.919414
2026-04-04,iOS,CA,existing,treatment,subscriber,feature_adoption_rate,0,1214,0.0
2026-04-04,iOS,CA,existing,treatment,subscriber,recommendation_engagement_rate,227,1203,0.188695
2026-04-04,iOS,CA,existing,treatment,subscriber,session_frequency,1715,1238,1.385299
2026-04-04,iOS,CA,existing,treatment,subscriber,report_block_rate,14,1236,0.011327
