date,platform,market,funnel_step,step_index,observed_count
2026-04-04,iOS,US,feature_impression,0,0
2026-04-04,iOS,US,recommendation_viewed,1,0
2026-04-04,iOS,US,recommendation_saved,2,0
2026-04-04,iOS,US,paywall_viewed,3,0
2026-04-04,iOS,US,checkout_started,4,0
2026-04-04,iOS,US,payment_completed,5,0
2026-04-04,iOS,US,subscription_activated,6,0
2026-04-04,iOS,GB,feature_impression,0,0
2026-04-04,iOS,GB,recommendation_viewed,1,0
2026-04-04,iOS,GB,recommendation_saved,2,0
2026-04-04,iOS,GB,paywall_viewed,3,0
2026-04-04,iOS,GB,checkout_started,4,0
2026-04-04,iOS,GB,payment_completed,5,0
2026-04-04,iOS,GB,subscription_activated,6,0
2026-04-04,iOS,DE,feature_impression,0,0
2026-04-04,iOS,DE,recommendation_viewed,1,0
2026-04-04,iOS,DE,recommendation_saved,2,0
2026-04-04,iOS,DE,paywall_viewed,3,0
2026-04-04,iOS,DE,checkout_started,4,0
2026-04-04,iOS,DE,payment_completed,5,0
2026-04-04,iOS,DE,subscription_activated,6,0
2026-04-04,iOS,CA,feature_impression,0,0
2026-04-04,iOS,CA,recommendation_viewed,1,0
2026-04-04,iOS,CA,recommendation_saved,2,0
2026-04-04,iOS,CA,paywall_viewed,3,0
2026-04-04,iOS,CA,checkout_started,4,0
2026-04-04,iOS,CA,payment_completed,5,0
2026-04-04,iOS,CA,subscription_activated,6,0
2026-04-04,Android,US,feature_impression,0,0
2026-04-04,Android,US,recommendation_viewed,1,0
2026-04-04,Android,US,recommendation_saved,2,0
2026-04-04,Android,US,paywall_viewed,3,0
2026-04-04,Android,US,checkout_started,4,0
2026-04-04,Android,US,payment_completed,5,0
2026-04-04,Android,US,subscription_activated,6,0
2026-04-04,Android,GB,feature_impression,0,0
2026-04-04,Android,GB,recommendation_viewed,1,0
2026-04-04,Android,GB,recommendation_saved,2,0
2026-04-04,Android,GB,paywall_viewed,3,0
2026-04-04,Android,GB,checkout_started,4,0
