date,platform,market,event_name,expected_volume,observed_volume,completeness_pct,schema_version,schema_changed,null_rate_key_property
2026-04-04,iOS,US,priority_rec_impression,26312,25852,0.9825,4,0,0.0049
2026-04-04,iOS,US,priority_rec_viewed,19524,19211,0.984,4,0,0.0049
2026-04-04,iOS,US,priority_rec_saved,10113,10005,0.9893,4,0,0.0043
2026-04-04,iOS,US,paywall_viewed,1982,1975,0.9965,4,0,0.0067
2026-04-04,iOS,US,checkout_started,656,648,0.9869,4,0,0.0048
2026-04-04,iOS,US,payment_completed,599,597,0.9962,4,0,0.0038
2026-04-04,iOS,US,subscription_activated,595,586,0.985,4,0,0.0045
2026-04-04,iOS,GB,priority_rec_impression,13728,13680,0.9965,4,0,0.0031
2026-04-04,iOS,GB,priority_rec_viewed,10186,10101,0.9916,4,0,0.0034
2026-04-04,iOS,GB,priority_rec_saved,5276,5229,0.9911,4,0,0.0022
2026-04-04,iOS,GB,paywall_viewed,1034,1004,0.9708,4,0,0.0037
2026-04-04,iOS,GB,checkout_started,342,339,0.9906,4,0,0.0034
2026-04-04,iOS,GB,payment_completed,313,311,0.9937,4,0,0.0046
2026-04-04,iOS,GB,subscription_activated,311,308,0.9915,4,0,0.0014
2026-04-04,iOS,DE,priority_rec_impression,10296,10126,0.9834,4,0,0.0008
2026-04-04,iOS,DE,priority_rec_viewed,7640,7502,0.982,4,0,0.0045
2026-04-04,iOS,DE,priority_rec_saved,3957,3896,0.9844,4,0,0.0033
2026-04-04,iOS,DE,paywall_viewed,776,767,0.9891,4,0,0.0014
2026-04-04,iOS,DE,checkout_started,257,254,0.9892,4,0,0.0003
2026-04-04,iOS,DE,payment_completed,234,233,0.9934,4,0,0.0032
2026-04-04,iOS,DE,subscription_activated,233,230,0.9866,4,0,0.006
2026-04-04,iOS,CA,priority_rec_impression,6864,6779,0.9876,4,0,0.0053
2026-04-04,iOS,CA,priority_rec_viewed,5093,5052,0.992,4,0,0.0061
2026-04-04,iOS,CA,priority_rec_saved,2638,2621,0.9936,4,0,0.0051
2026-04-04,iOS,CA,paywall_viewed,517,511,0.9889,4,0,0.0036
2026-04-04,iOS,CA,checkout_started,171,169,0.9861,4,0,0.0036
2026-04-04,iOS,CA,payment_completed,156,153,0.9782,4,0,0.0023
2026-04-04,iOS,CA,subscription_activated,155,155,0.9971,4,0,0.0057
2026-04-04,Android,US,priority_rec_impression,24288,24087,0.9917,4,0,0.0019
2026-04-04,Android,US,priority_rec_viewed,18022,18013,0.9995,4,0,0.0072
2026-04-04,Android,US,priority_rec_saved,9335,9170,0.9823,4,0,0.0028
2026-04-04,Android,US,paywall_viewed,1830,1821,0.9954,4,0,0.0029
2026-04-04,Android,US,checkout_started,606,601,0.9917,4,0,0.0024
2026-04-04,Android,US,payment_completed,553,550,0.9951,4,0,0.0058
2026-04-04,Android,US,subscription_activated,550,548,0.9972,4,0,0.0043
2026-04-04,Android,GB,priority_rec_impression,12672,12337,0.9736,4,0,0.0049
2026-04-04,Android,GB,priority_rec_viewed,9403,9270,0.9859,4,0,0.0039
2026-04-04,Android,GB,priority_rec_saved,4871,4851,0.9959,4,0,0.0029
2026-04-04,Android,GB,paywall_viewed,955,948,0.9933,4,0,0.0042
2026-04-04,Android,GB,checkout_started,316,310,0.98,4,0,0.0048
2026-04-04,Android,GB,payment_completed,288,286,0.9923,4,0,0.0043
2026-04-04,Android,GB,subscription_activated,287,282,0.9849,4,0,0.0061
2026-04-04,Android,DE,priority_rec_impression,9504,9366,0.9854,4,0,0.0013
2026-04-04,Android,DE,priority_rec_viewed,7052,6993,0.9917,4,0,0.0038
2026-04-04,Android,DE,priority_rec_saved,3653,3609,0.9878,4,0,0.0028
2026-04-04,Android,DE,paywall_viewed,716,715,0.998,4,0,0.0037
2026-04-04,Android,DE,checkout_started,237,234,0.9866,4,0,0.003
2026-04-04,Android,DE,payment_completed,216,216,0.9962,4,0,0.003
2026-04-04,Android,DE,subscription_activated,215,213,0.9914,4,0,0.001
2026-04-04,Android,CA,priority_rec_impression,6336,6273,0.9901,4,0,0.0007
2026-04-04,Android,CA,priority_rec_viewed,4701,4699,0.9995,4,0,0.0014
2026-04-04,Android,CA,priority_rec_saved,2435,2420,0.9939,4,0,0.0042
2026-04-04,Android,CA,paywall_viewed,477,475,0.9948,4,0,0.0053
2026-04-04,Android,CA,checkout_started,158,155,0.9802,4,0,0.0015
2026-04-04,Android,CA,payment_completed,144,142,0.9851,4,0,0.004
2026-04-04,Android,CA,subscription_activated,143,142,0.9932,4,0,0.0017
2026-04-05,iOS,US,priority_rec_impression,27341,26980,0.9868,4,0,0.0024
2026-04-05,iOS,US,priority_rec_viewed,20287,19992,0.9855,4,0,0.0062
2026-04-05,iOS,US,priority_rec_saved,10509,10461,0.9954,4,0,0.0059
2026-04-05,iOS,US,paywall_viewed,2060,2048,0.9941,4,0,0.0074
2026-04-05,iOS,US,checkout_started,682,671,0.9837,4,0,0.0038
2026-04-05,iOS,US,payment_completed,622,616,0.9892,4,0,0.0071
2026-04-05,iOS,US,subscription_activated,619,612,0.989,4,0,0.0032
2026-04-05,iOS,GB,priority_rec_impression,14265,14035,0.9839,4,0,0.0042
2026-04-05,iOS,GB,priority_rec_viewed,10584,10408,0.9834,4,0,0.0077
2026-04-05,iOS,GB,priority_rec_saved,5483,5399,0.9847,4,0,0.0049
2026-04-05,iOS,GB,paywall_viewed,1075,1048,0.9756,4,0,0.0032
2026-04-05,iOS,GB,checkout_started,356,352,0.9885,4,0,0.0039
2026-04-05,iOS,GB,payment_completed,325,319,0.9831,4,0,0.0064
2026-04-05,iOS,GB,subscription_activated,323,316,0.9805,4,0,0.0067
2026-04-05,iOS,DE,priority_rec_impression,10698,10633,0.9939,4,0,0.0077
2026-04-05,iOS,DE,priority_rec_viewed,7938,7919,0.9975,4,0,0.0051
2026-04-05,iOS,DE,priority_rec_saved,4112,4107,0.9987,4,0,0.0039
2026-04-05,iOS,DE,paywall_viewed,806,800,0.9921,4,0,0.0021
2026-04-05,iOS,DE,checkout_started,267,265,0.9943,4,0,0.0038
2026-04-05,iOS,DE,payment_completed,244,240,0.9851,4,0,0.0029
2026-04-05,iOS,DE,subscription_activated,242,242,0.9995,4,0,0.0049
2026-04-05,iOS,CA,priority_rec_impression,7132,7043,0.9874,4,0,0.0045
2026-04-05,iOS,CA,priority_rec_viewed,5292,5165,0.976,4,0,0.0056
2026-04-05,iOS,CA,priority_rec_saved,2741,2720,0.9923,4,0,0.0063
2026-04-05,iOS,CA,paywall_viewed,537,529,0.9852,4,0,0.0033
2026-04-05,iOS,CA,checkout_started,178,174,0.9796,4,0,0.0011
2026-04-05,iOS,CA,payment_completed,162,159,0.9822,4,0,0.003
2026-04-05,iOS,CA,subscription_activated,161,158,0.9813,4,0,0.0033
2026-04-05,Android,US,priority_rec_impression,25237,24751,0.9807,4,0,0.0049
2026-04-05,Android,US,priority_rec_viewed,18726,18408,0.983,4,0,0.0078
2026-04-05,Android,US,priority_rec_saved,9700,9575,0.9871,4,0,0.0018
2026-04-05,Android,US,paywall_viewed,1901,1875,0.9864,4,0,0.0046
2026-04-05,Android,US,checkout_started,629,618,0.9814,4,0,0.0028
2026-04-05,Android,US,payment_completed,575,571,0.9933,4,0,0.0029
2026-04-05,Android,US,subscription_activated,571,559,0.9789,4,0,0.0018
2026-04-05,Android,GB,priority_rec_impression,13167,13010,0.9881,4,0,0.0022
2026-04-05,Android,GB,priority_rec_viewed,9770,9567,0.9792,4,0,0.0053
2026-04-05,Android,GB,priority_rec_saved,5061,5001,0.9882,4,0,0.0012
2026-04-05,Android,GB,paywall_viewed,992,980,0.9883,4,0,0.0078
2026-04-05,Android,GB,checkout_started,328,325,0.9904,4,0,0.006
2026-04-05,Android,GB,payment_completed,300,296,0.9872,4,0,0.0048
2026-04-05,Android,GB,subscription_activated,298,294,0.9873,4,0,0.0067
2026-04-05,Android,DE,priority_rec_impression,9876,9707,0.9829,4,0,0.005
2026-04-05,Android,DE,priority_rec_viewed,7328,7279,0.9934,4,0,0.0041
2026-04-05,Android,DE,priority_rec_saved,3796,3707,0.9765,4,0,0.0054
2026-04-05,Android,DE,paywall_viewed,744,731,0.9827,4,0,0.0039
2026-04-05,Android,DE,checkout_started,246,243,0.9887,4,0,0.0026
2026-04-05,Android,DE,payment_completed,225,222,0.988,4,0,0.0046
2026-04-05,Android,DE,subscription_activated,223,222,0.9926,4,0,0.0075
2026-04-05,Android,CA,priority_rec_impression,6584,6456,0.9807,4,0,0.0042
2026-04-05,Android,CA,priority_rec_viewed,4885,4844,0.9917,4,0,0.0017
2026-04-05,Android,CA,priority_rec_saved,2530,2484,0.9817,4,0,0.0033
2026-04-05,Android,CA,paywall_viewed,496,496,0.9995,4,0,0.0009
2026-04-05,Android,CA,checkout_started,164,163,0.9907,4,0,0.0031
2026-04-05,Android,CA,payment_completed,150,147,0.9827,4,0,0.0031
2026-04-05,Android,CA,subscription_activated,149,146,0.9791,4,0,0.0007
2026-04-06,iOS,US,priority_rec_impression,27595,27528,0.9976,4,0,0.0037
2026-04-06,iOS,US,priority_rec_viewed,20475,20362,0.9945,4,0,0.0025
2026-04-06,iOS,US,priority_rec_saved,10606,10413,0.9818,4,0,0.0029
2026-04-06,iOS,US,paywall_viewed,2079,2051,0.9868,4,0,0.0044
2026-04-06,iOS,US,checkout_started,688,676,0.9818,4,0,0.0016
2026-04-06,iOS,US,payment_completed,628,627,0.9988,4,0,0.0035
2026-04-06,iOS,US,subscription_activated,624,620,0.9933,4,0,0.0014
2026-04-06,iOS,GB,priority_rec_impression,14397,14277,0.9917,4,0,0.0018
2026-04-06,iOS,GB,priority_rec_viewed,10683,10545,0.9871,4,0,0.0036
2026-04-06,iOS,GB,priority_rec_saved,5534,5420,0.9795,4,0,0.0019
2026-04-06,iOS,GB,paywall_viewed,1085,1066,0.9831,4,0,0.0052
2026-04-06,iOS,GB,checkout_started,359,354,0.9851,4,0,0.0036
2026-04-06,iOS,GB,payment_completed,328,326,0.9955,4,0,0.0041
2026-04-06,iOS,GB,subscription_activated,326,324,0.9934,4,0,0.0007
2026-04-06,iOS,DE,priority_rec_impression,10798,10677,0.9888,4,0,0.0051
2026-04-06,iOS,DE,priority_rec_viewed,8012,7941,0.9911,4,0,0.0021
2026-04-06,iOS,DE,priority_rec_saved,4150,4081,0.9832,4,0,0.0016
2026-04-06,iOS,DE,paywall_viewed,813,802,0.9863,4,0,0.0046
2026-04-06,iOS,DE,checkout_started,269,265,0.9858,4,0,0.0037
2026-04-06,iOS,DE,payment_completed,246,240,0.9746,4,0,0.0059
2026-04-06,iOS,DE,subscription_activated,244,241,0.9848,4,0,0.0052
2026-04-06,iOS,CA,priority_rec_impression,7199,7092,0.9852,4,0,0.0052
