date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-24,iOS,US,existing,treatment,free,feature_adoption_rate,0,182,0.0
2026-04-24,iOS,US,existing,treatment,free,recommendation_engagement_rate,31,183,0.169399
2026-04-24,iOS,US,existing,treatment,free,subscription_conversion_rate,6,183,0.032787
2026-04-24,iOS,US,existing,treatment,free,session_frequency,232,183,1.26776
2026-04-24,iOS,US,existing,treatment,free,report_block_rate,3,177,0.016949
2026-04-24,iOS,US,existing,treatment,free,day7_retention_proxy,117,176,0.664773
2026-04-24,iOS,US,existing,treatment,free,payment_completion_rate,10,11,0.909091
2026-04-24,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,49,0.0
2026-04-24,iOS,US,existing,treatment,subscriber,recommendation_engagement_rate,3,51,0.058824
2026-04-24,iOS,US,existing,treatment,subscriber,session_frequency,63,51,1.235294
2026-04-24,iOS,US,existing,treatment,subscriber,report_block_rate,0,51,0.0
2026-04-24,iOS,US,existing,treatment,subscriber,day7_retention_proxy,41,51,0.803922
2026-04-24,iOS,US,existing,control,free,feature_adoption_rate,0,179,0.0
2026-04-24,iOS,US,existing,control,free,recommendation_engagement_rate,35,169,0.207101
2026-04-24,iOS,US,existing,control,free,subscription_conversion_rate,11,174,0.063218
2026-04-24,iOS,US,existing,control,free,session_frequency,214,178,1.202247
2026-04-24,iOS,US,existing,control,free,report_block_rate,1,182,0.005495
2026-04-24,iOS,US,existing,control,free,day7_retention_proxy,123,175,0.702857
2026-04-24,iOS,US,existing,control,free,payment_completion_rate,11,11,1.0
2026-04-24,iOS,US,existing,control,subscriber,feature_adoption_rate,0,51,0.0
2026-04-24,iOS,US,existing,control,subscriber,recommendation_engagement_rate,9,52,0.173077
2026-04-24,iOS,US,existing,control,subscriber,session_frequency,56,48,1.166667
2026-04-24,iOS,US,existing,control,subscriber,report_block_rate,1,49,0.020408
2026-04-24,iOS,US,existing,control,subscriber,day7_retention_proxy,36,51,0.705882
2026-04-24,iOS,US,new,treatment,free,feature_adoption_rate,0,39,0.0
2026-04-24,iOS,US,new,treatment,free,recommendation_engagement_rate,7,38,0.184211
2026-04-24,iOS,US,new,treatment,free,subscription_conversion_rate,2,39,0.051282
2026-04-24,iOS,US,new,treatment,free,session_frequency,44,38,1.157895
2026-04-24,iOS,US,new,treatment,free,report_block_rate,0,38,0.0
2026-04-24,iOS,US,new,treatment,free,day7_retention_proxy,17,39,0.435897
2026-04-24,iOS,US,new,treatment,free,payment_completion_rate,2,2,1.0
2026-04-24,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,11,0.0
2026-04-24,iOS,US,new,treatment,subscriber,recommendation_engagement_rate,2,11,0.181818
2026-04-24,iOS,US,new,treatment,subscriber,session_frequency,12,11,1.090909
2026-04-24,iOS,US,new,treatment,subscriber,report_block_rate,0,11,0.0
2026-04-24,iOS,US,new,treatment,subscriber,day7_retention_proxy,6,11,0.545455
2026-04-24,iOS,US,new,control,free,feature_adoption_rate,0,38,0.0
2026-04-24,iOS,US,new,control,free,recommendation_engagement_rate,8,39,0.205128
2026-04-24,iOS,US,new,control,free,subscription_conversion_rate,0,39,0.0
2026-04-24,iOS,US,new,control,free,session_frequency,53,40,1.325
2026-04-24,iOS,US,new,control,free,report_block_rate,0,40,0.0
2026-04-24,iOS,US,new,control,free,day7_retention_proxy,23,39,0.589744
2026-04-24,iOS,US,new,control,free,payment_completion_rate,2,2,1.0
2026-04-24,iOS,US,new,control,subscriber,feature_adoption_rate,0,11,0.0
2026-04-24,iOS,US,new,control,subscriber,recommendation_engagement_rate,2,11,0.181818
2026-04-24,iOS,US,new,control,subscriber,session_frequency,18,11,1.636364
2026-04-24,iOS,US,new,control,subscriber,report_block_rate,0,11,0.0
2026-04-24,iOS,US,new,control,subscriber,day7_retention_proxy,7,11,0.636364
2026-04-24,iOS,GB,existing,treatment,free,feature_adoption_rate,0,96,0.0
2026-04-24,iOS,GB,existing,treatment,free,recommendation_engagement_rate,14,93,0.150538
2026-04-24,iOS,GB,existing,treatment,free,subscription_conversion_rate,0,93,0.0
2026-04-24,iOS,GB,existing,treatment,free,session_frequency,128,94,1.361702
2026-04-24,iOS,GB,existing,treatment,free,report_block_rate,0,92,0.0
2026-04-24,iOS,GB,existing,treatment,free,day7_retention_proxy,64,92,0.695652
2026-04-24,iOS,GB,existing,treatment,free,payment_completion_rate,6,6,1.0
2026-04-24,iOS,GB,existing,treatment,subscriber,feature_adoption_rate,0,26,0.0
2026-04-24,iOS,GB,existing,treatment,subscriber,recommendation_engagement_rate,6,26,0.230769
2026-04-24,iOS,GB,existing,treatment,subscriber,session_frequency,32,26,1.230769
2026-04-24,iOS,GB,existing,treatment,subscriber,report_block_rate,0,26,0.0
2026-04-24,iOS,GB,existing,treatment,subscriber,day7_retention_proxy,21,26,0.807692
2026-04-24,iOS,GB,existing,control,free,feature_adoption_rate,0,93,0.0
2026-04-24,iOS,GB,existing,control,free,recommendation_engagement_rate,16,93,0.172043
2026-04-24,iOS,GB,existing,control,free,subscription_conversion_rate,5,93,0.053763
2026-04-24,iOS,GB,existing,control,free,session_frequency,114,95,1.2
2026-04-24,iOS,GB,existing,control,free,report_block_rate,0,93,0.0
2026-04-24,iOS,GB,existing,control,free,day7_retention_proxy,78,94,0.829787
2026-04-24,iOS,GB,existing,control,free,payment_completion_rate,6,6,1.0
2026-04-24,iOS,GB,existing,control,subscriber,feature_adoption_rate,0,27,0.0
2026-04-24,iOS,GB,existing,control,subscriber,recommendation_engagement_rate,3,27,0.111111
2026-04-24,iOS,GB,existing,control,subscriber,session_frequency,27,26,1.038462
2026-04-24,iOS,GB,existing,control,subscriber,report_block_rate,0,26,0.0
2026-04-24,iOS,GB,existing,control,subscriber,day7_retention_proxy,20,27,0.740741
2026-04-24,iOS,GB,new,treatment,free,feature_adoption_rate,0,21,0.0
2026-04-24,iOS,GB,new,treatment,free,recommendation_engagement_rate,5,20,0.25
2026-04-24,iOS,GB,new,treatment,free,subscription_conversion_rate,1,20,0.05
2026-04-24,iOS,GB,new,treatment,free,session_frequency,27,21,1.285714
2026-04-24,iOS,GB,new,treatment,free,report_block_rate,0,21,0.0
2026-04-24,iOS,GB,new,treatment,free,day7_retention_proxy,10,20,0.5
2026-04-24,iOS,GB,new,treatment,free,payment_completion_rate,1,1,1.0
2026-04-24,iOS,GB,new,treatment,subscriber,feature_adoption_rate,0,6,0.0
2026-04-24,iOS,GB,new,treatment,subscriber,recommendation_engagement_rate,0,6,0.0
2026-04-24,iOS,GB,new,treatment,subscriber,session_frequency,7,6,1.166667
2026-04-24,iOS,GB,new,treatment,subscriber,report_block_rate,0,6,0.0
