date,platform,market,event_name,expected_volume,observed_volume,completeness_pct,schema_version,schema_changed,null_rate_key_property
2026-04-24,iOS,US,priority_rec_impression,278,272,0.9797,4,0,0.0043
2026-04-24,iOS,US,priority_rec_viewed,206,205,0.9945,4,0,0.0033
2026-04-24,iOS,US,priority_rec_saved,107,106,0.9883,4,0,0.0057
2026-04-24,iOS,US,paywall_viewed,21,21,0.996,4,0,0.003
2026-04-24,iOS,US,checkout_started,7,7,0.9924,4,0,0.0029
2026-04-24,iOS,US,payment_completed,6,6,0.9836,4,0,0.0001
2026-04-24,iOS,US,subscription_activated,6,6,0.9959,4,0,0.0063
2026-04-24,iOS,GB,priority_rec_impression,145,145,0.9995,4,0,0.0014
2026-04-24,iOS,GB,priority_rec_viewed,108,107,0.9905,4,0,0.0049
2026-04-24,iOS,GB,priority_rec_saved,56,55,0.9933,4,0,0.0031
2026-04-24,iOS,GB,paywall_viewed,11,11,0.9863,4,0,0.0066
2026-04-24,iOS,GB,checkout_started,4,4,0.9853,4,0,0.0055
2026-04-24,iOS,GB,payment_completed,3,3,0.9848,4,0,0.0048
2026-04-24,iOS,GB,subscription_activated,3,3,0.9926,4,0,0.0016
2026-04-24,iOS,CA,priority_rec_impression,73,72,0.9905,4,0,0.0048
2026-04-24,iOS,CA,priority_rec_viewed,54,54,0.9944,4,0,0.0043
2026-04-24,iOS,CA,priority_rec_saved,28,27,0.985,4,0,0.0021
2026-04-24,iOS,CA,paywall_viewed,5,5,0.9907,4,0,0.0063
2026-04-24,iOS,CA,checkout_started,2,2,0.9879,4,0,0.0037
2026-04-24,iOS,CA,payment_completed,2,2,0.9915,4,0,0.0054
2026-04-24,iOS,CA,subscription_activated,2,2,0.9819,4,0,0.0053
2026-04-25,iOS,US,priority_rec_impression,289,285,0.9831,4,0,0.0031
2026-04-25,iOS,US,priority_rec_viewed,215,211,0.9821,4,0,0.0028
2026-04-25,iOS,US,priority_rec_saved,111,110,0.9913,4,0,0.0044
2026-04-25,iOS,US,paywall_viewed,22,22,0.9869,4,0,0.006
2026-04-25,iOS,US,checkout_started,7,7,0.9905,4,0,0.0078
2026-04-25,iOS,US,payment_completed,7,7,0.9887,4,0,0.0044
2026-04-25,iOS,US,subscription_activated,7,6,0.9904,4,0,0.0032
2026-04-25,iOS,GB,priority_rec_impression,151,149,0.9856,4,0,0.0059
2026-04-25,iOS,GB,priority_rec_viewed,112,110,0.9816,4,0,0.0051
2026-04-25,iOS,GB,priority_rec_saved,58,57,0.9853,4,0,0.0029
2026-04-25,iOS,GB,paywall_viewed,11,11,0.9956,4,0,0.004
2026-04-25,iOS,GB,checkout_started,4,4,0.9832,4,0,0.0041
2026-04-25,iOS,GB,payment_completed,3,3,0.9928,4,0,0.0047
2026-04-25,iOS,GB,subscription_activated,3,3,0.9912,4,0,0.0044
2026-04-25,iOS,CA,priority_rec_impression,76,74,0.9826,4,0,0.0063
2026-04-25,iOS,CA,priority_rec_viewed,56,55,0.9828,4,0,0.0042
2026-04-25,iOS,CA,priority_rec_saved,29,28,0.9819,4,0,0.0017
2026-04-25,iOS,CA,paywall_viewed,6,6,0.9955,4,0,0.0037
2026-04-25,iOS,CA,checkout_started,2,2,0.9964,4,0,0.0067
2026-04-25,iOS,CA,payment_completed,2,2,0.9905,4,0,0.0031
2026-04-25,iOS,CA,subscription_activated,2,2,0.9823,4,0,0.0064
2026-04-26,iOS,US,priority_rec_impression,301,297,0.9867,4,0,0.0049
2026-04-26,iOS,US,priority_rec_viewed,223,221,0.9902,4,0,0.0006
2026-04-26,iOS,US,priority_rec_saved,116,116,0.9995,4,0,0.0044
2026-04-26,iOS,US,paywall_viewed,23,22,0.9863,4,0,0.0053
2026-04-26,iOS,US,checkout_started,7,7,0.9895,4,0,0.0041
2026-04-26,iOS,US,payment_completed,7,7,0.9898,4,0,0.0031
2026-04-26,iOS,US,subscription_activated,7,7,0.9879,4,0,0.0057
2026-04-26,iOS,GB,priority_rec_impression,157,155,0.9857,4,0,0.0017
2026-04-26,iOS,GB,priority_rec_viewed,116,115,0.9868,4,0,0.0046
2026-04-26,iOS,GB,priority_rec_saved,60,60,0.9967,4,0,0.0016
2026-04-26,iOS,GB,paywall_viewed,12,12,0.9922,4,0,0.0052
2026-04-26,iOS,GB,checkout_started,4,4,0.9954,4,0,0.0049
2026-04-26,iOS,GB,payment_completed,4,4,0.9874,4,0,0.0036
2026-04-26,iOS,GB,subscription_activated,4,4,0.9984,4,0,0.0046
2026-04-26,iOS,CA,priority_rec_impression,78,77,0.9873,4,0,0.0047
2026-04-26,iOS,CA,priority_rec_viewed,58,58,0.9933,4,0,0.0043
2026-04-26,iOS,CA,priority_rec_saved,30,30,0.9877,4,0,0.0024
2026-04-26,iOS,CA,paywall_viewed,6,6,0.9961,4,0,0.0059
2026-04-26,iOS,CA,checkout_started,2,2,0.9879,4,0,0.0026
2026-04-26,iOS,CA,payment_completed,2,2,0.9814,4,0,0.0051
2026-04-26,iOS,CA,subscription_activated,2,2,0.996,4,0,0.0049
2026-04-27,iOS,US,priority_rec_impression,304,302,0.9962,4,0,0.0029
2026-04-27,iOS,US,priority_rec_viewed,225,222,0.9877,4,0,0.0037
2026-04-27,iOS,US,priority_rec_saved,117,115,0.987,4,0,0.0008
2026-04-27,iOS,US,paywall_viewed,23,23,0.9924,4,0,0.0025
2026-04-27,iOS,US,checkout_started,8,8,0.9932,4,0,0.0036
2026-04-27,iOS,US,payment_completed,7,7,0.9906,4,0,0.0031
2026-04-27,iOS,US,subscription_activated,7,7,0.9861,4,0,0.0035
2026-04-27,iOS,GB,priority_rec_impression,158,157,0.9898,4,0,0.0072
2026-04-27,iOS,GB,priority_rec_viewed,118,116,0.9893,4,0,0.0035
2026-04-27,iOS,GB,priority_rec_saved,61,60,0.9866,4,0,0.0036
2026-04-27,iOS,GB,paywall_viewed,12,12,0.9977,4,0,0.0012
2026-04-27,iOS,GB,checkout_started,4,4,0.9838,4,0,0.005
2026-04-27,iOS,GB,payment_completed,4,4,0.977,4,0,0.0052
2026-04-27,iOS,GB,subscription_activated,4,4,0.9864,4,0,0.0056
2026-04-27,iOS,CA,priority_rec_impression,79,79,0.9943,4,0,0.0
2026-04-27,iOS,CA,priority_rec_viewed,59,58,0.9817,4,0,0.0028
2026-04-27,iOS,CA,priority_rec_saved,30,30,0.9853,4,0,0.0034
2026-04-27,iOS,CA,paywall_viewed,6,6,0.9949,4,0,0.0034
2026-04-27,iOS,CA,checkout_started,2,2,0.995,4,0,0.0009
2026-04-27,iOS,CA,payment_completed,2,2,0.992,4,0,0.0041
2026-04-27,iOS,CA,subscription_activated,2,2,0.9868,4,0,0.0044
2026-04-28,iOS,US,priority_rec_impression,296,291,0.9857,4,0,0.0043
2026-04-28,iOS,US,priority_rec_viewed,219,217,0.9902,4,0,0.0031
2026-04-28,iOS,US,priority_rec_saved,114,112,0.9813,4,0,0.0026
2026-04-28,iOS,US,paywall_viewed,22,22,0.9849,4,0,0.0028
