date,platform,market,user_type,assignment,subscription_status,metric_name,numerator,denominator,value
2026-04-04,iOS,US,existing,treatment,free,feature_adoption_rate,0,16878,0.0
2026-04-04,iOS,US,existing,treatment,free,recommendation_engagement_rate,3068,17046,0.179984
2026-04-04,iOS,US,existing,treatment,free,subscription_conversion_rate,693,17196,0.0403
2026-04-04,iOS,US,existing,treatment,free,session_frequency,23083,17047,1.35408
2026-04-04,iOS,US,existing,treatment,free,report_block_rate,95,16762,0.005668
2026-04-04,iOS,US,existing,treatment,free,day7_retention_proxy,11882,16612,0.715266
2026-04-04,iOS,US,existing,treatment,free,payment_completion_rate,919,1020,0.90098
2026-04-04,iOS,US,existing,treatment,subscriber,feature_adoption_rate,0,4690,0.0
2026-04-04,iOS,US,existing,treatment,subscriber,recommendation_engagement_rate,862,4581,0.188169
2026-04-04,iOS,US,existing,treatment,subscriber,session_frequency,6351,4729,1.34299
2026-04-04,iOS,US,existing,treatment,subscriber,report_block_rate,41,4776,0.008585
2026-04-04,iOS,US,existing,treatment,subscriber,day7_retention_proxy,3425,4800,0.713542
2026-04-04,iOS,US,existing,control,free,feature_adoption_rate,0,16553,0.0
2026-04-04,iOS,US,existing,control,free,recommendation_engagement_rate,2954,16721,0.176664
2026-04-04,iOS,US,existing,control,free,subscription_conversion_rate,671,16891,0.039725
2026-04-04,iOS,US,existing,control,free,session_frequency,23428,17361,1.349461
2026-04-04,iOS,US,existing,control,free,report_block_rate,98,17215,0.005693
2026-04-04,iOS,US,existing,control,free,day7_retention_proxy,11851,16479,0.719158
2026-04-04,iOS,US,existing,control,free,payment_completion_rate,938,1026,0.91423
2026-04-04,iOS,US,existing,control,subscriber,feature_adoption_rate,0,4870,0.0
2026-04-04,iOS,US,existing,control,subscriber,recommendation_engagement_rate,825,4745,0.173867
2026-04-04,iOS,US,existing,control,subscriber,session_frequency,6351,4637,1.369636
2026-04-04,iOS,US,existing,control,subscriber,report_block_rate,28,4762,0.00588
2026-04-04,iOS,US,existing,control,subscriber,day7_retention_proxy,3415,4819,0.708653
2026-04-04,iOS,US,new,treatment,free,feature_adoption_rate,0,3659,0.0
2026-04-04,iOS,US,new,treatment,free,recommendation_engagement_rate,638,3665,0.174079
2026-04-04,iOS,US,new,treatment,free,subscription_conversion_rate,119,3756,0.031683
2026-04-04,iOS,US,new,treatment,free,session_frequency,5022,3727,1.347464
2026-04-04,iOS,US,new,treatment,free,report_block_rate,20,3561,0.005616
2026-04-04,iOS,US,new,treatment,free,day7_retention_proxy,2337,3746,0.623865
2026-04-04,iOS,US,new,treatment,free,payment_completion_rate,215,228,0.942982
2026-04-04,iOS,US,new,treatment,subscriber,feature_adoption_rate,0,1055,0.0
2026-04-04,iOS,US,new,treatment,subscriber,recommendation_engagement_rate,172,1035,0.166184
2026-04-04,iOS,US,new,treatment,subscriber,session_frequency,1403,1048,1.33874
2026-04-04,iOS,US,new,treatment,subscriber,report_block_rate,7,1047,0.006686
2026-04-04,iOS,US,new,treatment,subscriber,day7_retention_proxy,625,1007,0.620655
2026-04-04,iOS,US,new,control,free,feature_adoption_rate,0,3648,0.0
2026-04-04,iOS,US,new,control,free,recommendation_engagement_rate,664,3740,0.17754
2026-04-04,iOS,US,new,control,free,subscription_conversion_rate,119,3769,0.031573
2026-04-04,iOS,US,new,control,free,session_frequency,4982,3705,1.344669
2026-04-04,iOS,US,new,control,free,report_block_rate,21,3767,0.005575
2026-04-04,iOS,US,new,control,free,day7_retention_proxy,2224,3649,0.609482
2026-04-04,iOS,US,new,control,free,payment_completion_rate,207,228,0.907895
2026-04-04,iOS,US,new,control,subscriber,feature_adoption_rate,0,1047,0.0
2026-04-04,iOS,US,new,control,subscriber,recommendation_engagement_rate,182,1036,0.175676
2026-04-04,iOS,US,new,control,subscriber,session_frequency,1514,1072,1.412313
2026-04-04,iOS,US,new,control,subscriber,report_block_rate,5,1063,0.004704
2026-04-04,iOS,US,new,control,subscriber,day7_retention_proxy,673,1075,0.626047
2026-04-04,iOS,GB,existing,treatment,free,feature_adoption_rate,0,8939,0.0
2026-04-04,iOS,GB,existing,treatment,free,recommendation_engagement_rate,1575,8685,0.181347
2026-04-04,iOS,GB,existing,treatment,free,subscription_conversion_rate,349,8674,0.040235
2026-04-04,iOS,GB,existing,treatment,free,session_frequency,11860,8746,1.356048
2026-04-04,iOS,GB,existing,treatment,free,report_block_rate,46,8387,0.005485
2026-04-04,iOS,GB,existing,treatment,free,day7_retention_proxy,6138,8639,0.710499
