date,platform,market,event_name,expected_volume,observed_volume,completeness_pct,schema_version,schema_changed,null_rate_key_property
2026-04-04,iOS,US,priority_rec_impression,26312,26110,0.9923,4,0,0.0061
2026-04-04,iOS,US,priority_rec_viewed,19524,19514,0.9995,4,0,0.0034
2026-04-04,iOS,US,priority_rec_saved,10113,9925,0.9814,4,0,0.004
2026-04-04,iOS,US,paywall_viewed,1982,1970,0.9937,4,0,0.0044
2026-04-04,iOS,US,checkout_started,656,650,0.9904,4,0,0.0055
2026-04-04,iOS,US,payment_completed,599,587,0.9795,4,0,0.0028
2026-04-04,iOS,US,subscription_activated,595,586,0.9847,4,0,0.0038
2026-04-04,iOS,GB,priority_rec_impression,13728,13529,0.9855,4,0,0.0052
2026-04-04,iOS,GB,priority_rec_viewed,10186,10181,0.9995,4,0,0.0068
2026-04-04,iOS,GB,priority_rec_saved,5276,5220,0.9892,4,0,0.0011
2026-04-04,iOS,GB,paywall_viewed,1034,1012,0.9783,4,0,0.0032
2026-04-04,iOS,GB,checkout_started,342,336,0.9805,4,0,0.004
2026-04-04,iOS,GB,payment_completed,313,307,0.9834,4,0,0.0057
2026-04-04,iOS,GB,subscription_activated,311,307,0.9874,4,0,0.0052
2026-04-04,iOS,DE,priority_rec_impression,10296,10268,0.9973,4,0,0.0029
2026-04-04,iOS,DE,priority_rec_viewed,7640,7601,0.995,4,0,0.0039
2026-04-04,iOS,DE,priority_rec_saved,3957,3893,0.9836,4,0,0.0042
2026-04-04,iOS,DE,paywall_viewed,776,767,0.9884,4,0,0.005
2026-04-04,iOS,DE,checkout_started,257,253,0.9835,4,0,0.0071
2026-04-04,iOS,DE,payment_completed,234,232,0.9901,4,0,0.0032
2026-04-04,iOS,DE,subscription_activated,233,231,0.9893,4,0,0.0011
2026-04-04,iOS,CA,priority_rec_impression,6864,6731,0.9806,4,0,0.0032
2026-04-04,iOS,CA,priority_rec_viewed,5093,5065,0.9944,4,0,0.0047
2026-04-04,iOS,CA,priority_rec_saved,2638,2586,0.9803,4,0,0.0056
2026-04-04,iOS,CA,paywall_viewed,517,509,0.9845,4,0,0.0055
2026-04-04,iOS,CA,checkout_started,171,168,0.982,4,0,0.0033
2026-04-04,iOS,CA,payment_completed,156,154,0.9834,4,0,0.0022
2026-04-04,iOS,CA,subscription_activated,155,155,0.998,4,0,0.0044
2026-04-04,Android,US,priority_rec_impression,24288,24146,0.9941,4,0,0.0065
2026-04-04,Android,US,priority_rec_viewed,18022,17870,0.9916,4,0,0.0045
2026-04-04,Android,US,priority_rec_saved,9335,9232,0.989,4,0,0.0044
2026-04-04,Android,US,paywall_viewed,1830,1819,0.9943,4,0,0.0079
2026-04-04,Android,US,checkout_started,606,597,0.9858,4,0,0.0047
2026-04-04,Android,US,payment_completed,553,544,0.9837,4,0,0.0055
2026-04-04,Android,US,subscription_activated,550,543,0.9882,4,0,0.0047
2026-04-04,Android,GB,priority_rec_impression,12672,12528,0.9887,4,0,0.0029
2026-04-04,Android,GB,priority_rec_viewed,9403,9324,0.9916,4,0,0.005
2026-04-04,Android,GB,priority_rec_saved,4871,4776,0.9805,4,0,0.0038
2026-04-04,Android,GB,paywall_viewed,955,939,0.9831,4,0,0.0024
2026-04-04,Android,GB,checkout_started,316,312,0.987,4,0,0.0042
2026-04-04,Android,GB,payment_completed,288,283,0.9805,4,0,0.0069
2026-04-04,Android,GB,subscription_activated,287,287,0.9995,4,0,0.0048
2026-04-04,Android,DE,priority_rec_impression,9504,9280,0.9764,4,0,0.0041
2026-04-04,Android,DE,priority_rec_viewed,7052,6949,0.9854,4,0,0.005
2026-04-04,Android,DE,priority_rec_saved,3653,3590,0.9828,4,0,0.0053
2026-04-04,Android,DE,paywall_viewed,716,712,0.9939,4,0,0.0032
2026-04-04,Android,DE,checkout_started,237,235,0.9911,4,0,0.0044
2026-04-04,Android,DE,payment_completed,216,215,0.9935,4,0,0.0033
2026-04-04,Android,DE,subscription_activated,215,212,0.9854,4,0,0.0032
2026-04-04,Android,CA,priority_rec_impression,6336,6309,0.9957,4,0,0.0008
2026-04-04,Android,CA,priority_rec_viewed,4701,4655,0.9902,4,0,0.0025
2026-04-04,Android,CA,priority_rec_saved,2435,2405,0.9876,4,0,0.0052
2026-04-04,Android,CA,paywall_viewed,477,465,0.9749,4,0,0.0041
2026-04-04,Android,CA,checkout_started,158,156,0.9882,4,0,0.0088
2026-04-04,Android,CA,payment_completed,144,144,0.9952,4,0,0.0039
2026-04-04,Android,CA,subscription_activated,143,142,0.9917,4,0,0.0058
2026-04-05,iOS,US,priority_rec_impression,27341,27147,0.9929,4,0,0.0044
2026-04-05,iOS,US,priority_rec_viewed,20287,19882,0.98,4,0,0.0054
2026-04-05,iOS,US,priority_rec_saved,10509,10387,0.9885,4,0,0.0041
2026-04-05,iOS,US,paywall_viewed,2060,2038,0.9897,4,0,0.003
2026-04-05,iOS,US,checkout_started,682,672,0.9864,4,0,0.0018
2026-04-05,iOS,US,payment_completed,622,617,0.9918,4,0,0.0044
